"","x","y","Year","Number_confirmed_events","Total_deaths","Species_group","AEZ_Name"
"1",34.002517,0.407376,2004,0,0,"Human","Waterbody"
"2",34.002517,0.407376,2010,14,0,"Livestock","Waterbody"
"3",34.002517,0.407376,2010,14,0,"Human","Waterbody"
"4",34.002517,0.407376,2010,15,0,"Human","Waterbody"
"5",34.002517,0.407376,2010,11,0,"Human","Waterbody"
"6",34.141077,0.198418,2018,38,0,"Livestock","Midland"
"7",34.141077,0.198418,2018,0,0,"Livestock","Midland"
"8",34.25,0.416666,2011,0,0,NA,"Midland"
"9",34.270899,0.041853,2021,2,0,"Livestock","Midland"
"10",34.270899,0.041853,2018,1,1,"Human","Midland"
"11",34.342477,0.210993,2007,2,0,"Human","Midland"
"12",34.343,-0.204,2006,3,0,"Livestock","Waterbody"
"13",34.343,-0.204,2007,0,0,"Livestock","Waterbody"
"14",34.357915,4.212146,1994,129,0,"Human","Lowland"
"15",34.383766,0.185178,2010,0,0,"Human","Midland"
"16",34.453059,-0.538236,2007,0,0,"Human","Midland"
"17",34.453059,-0.538236,2007,0,0,"Wildlife","Midland"
"18",34.453059,-0.538236,2007,0,0,"Wildlife","Midland"
"19",34.453059,-0.538236,2007,2,0,"Wildlife","Midland"
"20",34.461209,-0.522483,2021,1,0,"Livestock","Midland"
"21",34.486887,-1.071389,2021,17,0,"Livestock","Midland"
"22",34.49992,0.544694,1998,0,0,"Livestock","Midland"
"23",34.781749,-0.094366,2021,3,0,"Livestock","Midland"
"24",34.86867,-0.136355,2007,4,0,"Human","Midland"
"25",34.871125,0.295919,1973,4,0,"Livestock","Midland"
"26",34.878933,-1.008934,2021,0,0,"Livestock","Highland"
"27",34.890354,1.076417,2016,0,0,"Livestock","Midland"
"28",34.942422,1.051958,1951,0,0,"Livestock","Midland"
"29",34.942422,1.051958,1955,0,0,"Livestock","Midland"
"30",34.942422,1.051958,1961,0,0,"Livestock","Midland"
"31",34.952161,-1.397047,2010,24,0,"Wildlife","Midland"
"32",34.952161,-1.397047,2007,4,0,"Wildlife","Midland"
"33",34.952161,-1.397047,2007,15,0,"Wildlife","Midland"
"34",34.952161,-1.397047,2007,2,0,"Wildlife","Midland"
"35",34.952161,-1.397047,2000,0,0,"Wildlife","Midland"
"36",34.952161,-1.397047,2007,1,0,"Wildlife","Midland"
"37",34.952161,-1.397047,2007,32,0,"Wildlife","Midland"
"38",34.952161,-1.397047,2008,24,0,"Wildlife","Midland"
"39",34.952161,-1.397047,2007,0,0,"Wildlife","Midland"
"40",34.952161,-1.397047,2007,0,0,"Wildlife","Midland"
"41",35.10613,0.1916,2021,3,0,"Livestock","Midland"
"42",35.197522,0.94787,1983,1,0,"Human","Midland"
"43",35.229454,0.846236,1996,0,0,"Human","Highland"
"44",35.229454,0.846236,1997,1,0,"Human","Highland"
"45",35.237147,1.704077,1961,0,0,"Livestock","Midland"
"46",35.270739,1.109716,1973,3,0,"Livestock","Highland"
"47",35.285993,-0.357099,2021,0,0,"Livestock","Highland"
"48",35.320574,0.551993,1961,0,0,"Livestock","Highland"
"49",35.320574,0.551993,1951,0,0,"Livestock","Highland"
"50",35.320574,0.551993,1955,0,0,"Livestock","Highland"
"51",35.37612,0.086605,1973,2,0,"Livestock","Highland"
"52",35.592214,3.116682,1983,7,0,"Human","Lowland"
"53",35.667,1.175,2007,2,0,"Livestock","Midland"
"54",35.667,1.175,2007,0,0,"Livestock","Midland"
"55",35.730758,-0.249337,2005,0,0,"Livestock","Highland"
"56",35.730758,-0.249337,2005,0,0,"Livestock","Highland"
"57",35.867529,-1.081788,2015,0,0,NA,"Highland"
"58",35.867529,-1.081788,2007,0,0,"Wildlife","Highland"
"59",35.867529,-1.081788,1999,0,0,"Wildlife","Highland"
"60",35.867529,-1.081788,2007,0,0,"Human","Highland"
"61",35.867529,-1.081788,2007,0,0,"Wildlife","Highland"
"62",35.867529,-1.081788,1961,0,0,"Livestock","Highland"
"63",35.867529,-1.081788,2007,0,0,"Wildlife","Highland"
"64",35.867529,-1.081788,2007,0,0,"Wildlife","Highland"
"65",35.867529,-1.081788,2007,5,0,"Wildlife","Highland"
"66",35.941511,0.658705,2007,56,0,"Human","Midland"
"67",35.941511,0.658705,2009,0,0,"Human","Midland"
"68",35.941511,0.658705,2007,174,13,"Human","Midland"
"69",35.941511,0.658705,2015,0,0,NA,"Midland"
"70",35.941511,0.658705,2006,35,0,"Human","Midland"
"71",35.941511,0.658705,2007,52,0,"Human","Midland"
"72",35.941511,0.658705,2006,32,0,"Livestock","Midland"
"73",35.941511,0.658705,2006,88,0,"Human","Midland"
"74",35.942901,0.502204,2009,0,0,"Wildlife","Midland"
"75",35.942901,0.502204,2011,0,0,"Wildlife","Midland"
"76",35.942901,0.502204,2011,0,0,"Wildlife","Midland"
"77",35.942901,0.502204,2012,0,0,"Wildlife","Midland"
"78",35.942901,0.502204,2010,0,0,"Wildlife","Midland"
"79",35.942901,0.502204,2012,0,0,"Wildlife","Midland"
"80",35.942901,0.502204,2010,0,0,"Wildlife","Midland"
"81",35.947865,0.368726,1955,0,0,"Livestock","Midland"
"82",35.947865,0.368726,1936,0,0,"Livestock","Midland"
"83",35.947865,0.368726,1931,0,0,"Livestock","Midland"
"84",35.947865,0.368726,1951,0,0,"Livestock","Midland"
"85",36,-0.333333,2009,0,0,NA,"Highland"
"86",36,0.633333,2010,0,0,NA,"Midland"
"87",36.006072,0.50495,2011,0,0,"Wildlife","Lowland"
"88",36.006072,0.50495,2011,0,0,"Wildlife","Lowland"
"89",36.006072,0.50495,2010,0,0,"Wildlife","Lowland"
"90",36.006072,0.50495,2011,0,0,"Wildlife","Lowland"
"91",36.006072,0.50495,2009,0,0,"Wildlife","Lowland"
"92",36.006072,0.50495,2010,0,0,"Wildlife","Lowland"
"93",36.006072,0.50495,2009,1,0,"Livestock","Lowland"
"94",36.006072,0.50495,2010,0,0,"Wildlife","Lowland"
"95",36.006072,0.50495,2009,0,0,"Wildlife","Lowland"
"96",36.039262,0.717646,1998,0,0,"Livestock","Lowland"
"97",36.057,0.483,2007,29,0,"Livestock","Lowland"
"98",36.057,0.483,2007,0,0,"Livestock","Lowland"
"99",36.067303,0.247183,2018,1,0,"Livestock","Midland"
"100",36.067303,0.247183,2018,0,0,"Livestock","Midland"
"101",36.069732,-0.264025,2021,2,0,"Livestock","Midland"
"102",36.098082,-0.299676,1931,0,0,"Livestock","Midland"
"103",36.098082,-0.299676,1999,14,0,"Wildlife","Midland"
"104",36.098082,-0.299676,2007,4,0,"Wildlife","Midland"
"105",36.098082,-0.299676,2016,0,0,"Livestock","Midland"
"106",36.098082,-0.299676,1999,7,0,"Wildlife","Midland"
"107",36.098082,-0.299676,1936,0,0,"Livestock","Midland"
"108",36.098082,-0.299676,2006,0,0,"Livestock","Midland"
"109",36.098082,-0.299676,1951,0,0,"Livestock","Midland"
"110",36.098082,-0.299676,1955,0,0,"Livestock","Midland"
"111",36.098082,-0.299676,2007,0,0,"Wildlife","Midland"
"112",36.098082,-0.299676,2007,0,0,"Human","Midland"
"113",36.098082,-0.299676,2007,1,0,"Human","Midland"
"114",36.098082,-0.299676,1961,0,0,"Livestock","Midland"
"115",36.098082,-0.299676,2007,0,0,"Wildlife","Midland"
"116",36.098082,-0.299676,2007,0,0,"Wildlife","Midland"
"117",36.098082,-0.299676,1912,0,0,"Livestock","Midland"
"118",36.098082,-0.299676,1960,0,0,"Livestock","Midland"
"119",36.098082,-0.299676,2007,1,0,"Wildlife","Midland"
"120",36.098082,-0.299676,2007,0,0,"Wildlife","Midland"
"121",36.098082,-0.299676,2007,0,0,"Wildlife","Midland"
"122",36.10175,-0.456557,2002,0,0,"Livestock","Midland"
"123",36.102872,-0.300705,2005,1,0,"Livestock","Midland"
"124",36.102872,-0.300705,2005,5,0,"Livestock","Midland"
"125",36.111486,0.456151,2006,21,0,"Vector","Lowland"
"126",36.117983,-2.09168,2005,6,0,"Livestock","Lowland"
"127",36.117983,-2.09168,2005,5,0,"Livestock","Lowland"
"128",36.196,-0.879,2007,0,0,"Livestock","Highland"
"129",36.196,-0.879,2006,2,0,"Livestock","Highland"
"130",36.207385,1.016765,2007,1,0,"Human","Lowland"
"131",36.215376,-0.694973,1955,0,0,"Livestock","Highland"
"132",36.215376,-0.694973,1951,0,0,"Livestock","Highland"
"133",36.215376,-0.694973,1936,0,0,"Livestock","Highland"
"134",36.215376,-0.694973,1931,0,0,"Livestock","Highland"
"135",36.228323,-0.005614,2005,6,0,"Livestock","Highland"
"136",36.228323,-0.005614,2005,0,0,"Livestock","Highland"
"137",36.301703,-1.901959,2005,0,0,"Livestock","Lowland"
"138",36.301703,-1.901959,2005,0,0,"Livestock","Lowland"
"139",36.430979,-0.719609,2011,0,0,"Wildlife","Midland"
"140",36.430979,-0.719609,2009,0,0,"Human","Midland"
"141",36.430979,-0.719609,1989,2,0,"Human","Midland"
"142",36.430979,-0.719609,2010,0,0,"Wildlife","Midland"
"143",36.430979,-0.719609,2007,11,0,"Wildlife","Midland"
"144",36.430979,-0.719609,2010,5,0,"Wildlife","Midland"
"145",36.430979,-0.719609,2008,0,0,"Wildlife","Midland"
"146",36.430979,-0.719609,2006,0,0,"Wildlife","Midland"
"147",36.430979,-0.719609,2005,2,0,"Livestock","Midland"
"148",36.430979,-0.719609,1989,1,0,"Human","Midland"
"149",36.430979,-0.719609,2010,0,0,"Wildlife","Midland"
"150",36.430979,-0.719609,1951,0,0,"Livestock","Midland"
"151",36.430979,-0.719609,1931,0,0,"Livestock","Midland"
"152",36.430979,-0.719609,2007,2,0,"Wildlife","Midland"
"153",36.430979,-0.719609,2005,16,0,"Livestock","Midland"
"154",36.430979,-0.719609,1989,2,0,"Human","Midland"
"155",36.430979,-0.719609,2011,0,0,"Wildlife","Midland"
"156",36.430979,-0.719609,1955,0,0,"Livestock","Midland"
"157",36.430979,-0.719609,1936,0,0,"Livestock","Midland"
"158",36.430979,-0.719609,2010,0,0,"Wildlife","Midland"
"159",36.430979,-0.719609,2011,3,0,"Wildlife","Midland"
"160",36.430979,-0.719609,2011,0,0,"Wildlife","Midland"
"161",36.43098,-0.719609,2007,2,0,"Wildlife","Midland"
"162",36.4385489619557,1.33546578396756,2010,14,0,"Wildlife","Midland"
"163",36.451881,-0.528929,1951,0,0,"Livestock","Highland"
"164",36.451881,-0.528929,1955,0,0,"Livestock","Highland"
"165",36.451881,-0.528929,1936,0,0,"Livestock","Highland"
"166",36.451881,-0.528929,1931,0,0,"Livestock","Highland"
"167",36.498871,-0.195548,2019,0,0,"Livestock","Highland"
"168",36.498871,-0.195548,2019,5,0,"Livestock","Highland"
"169",36.643,-1.271,2007,0,0,"Livestock","Highland"
"170",36.643,-1.271,2007,4,0,"Livestock","Highland"
"171",36.647972,1.062667,2007,7,0,NA,"Highland"
"172",36.656184,0.415405,1980,0,0,"Livestock","Midland"
"173",36.6601,-1.2396,2021,0,0,"Livestock","Highland"
"174",36.6601,-1.2396,2021,4,0,"Livestock","Highland"
"175",36.6681961383982,-0.405757403905589,2010,8,0,"Wildlife","Highland"
"176",36.66979,0.118558,2007,6,0,"Human","Highland"
"177",36.690156,-1.427347,2018,0,500,"Wildlife","Midland"
"178",36.6902633,-1.0862707,1998,0,0,"Livestock","Highland"
"179",36.716667,-1.266666,1998,0,0,"Livestock","Nairobi City"
"180",36.749477,-1.394256,2005,19,0,"Livestock","Nairobi City"
"181",36.749477,-1.394256,2005,17,0,"Livestock","Nairobi City"
"182",36.75,-2,2009,0,0,NA,"Midland"
"183",36.777463,0.935899,1980,0,0,"Livestock","Midland"
"184",36.787602,-2.547023,2005,0,0,"Livestock","Midland"
"185",36.787602,-2.547023,2005,1,0,"Livestock","Midland"
"186",36.791132,-1.841374,2005,0,0,"Livestock","Midland"
"187",36.791346,0.348316,2008,2,0,"Wildlife","Midland"
"188",36.813665,-1.949537,2015,0,0,NA,"Midland"
"189",36.818994,0.337332,2006,0,0,"Livestock","Midland"
"190",36.818994,0.337332,2007,0,0,"Wildlife","Midland"
"191",36.818994,0.337332,2007,0,0,"Human","Midland"
"192",36.818994,0.337332,2004,0,0,"Wildlife","Midland"
"193",36.818994,0.337332,2007,9,0,"Wildlife","Midland"
"194",36.818994,0.337332,2007,0,0,"Wildlife","Midland"
"195",36.818994,0.337332,2007,0,0,"Wildlife","Midland"
"196",36.818994,0.337332,1951,0,0,"Livestock","Midland"
"197",36.818994,0.337332,2007,0,0,"Wildlife","Midland"
"198",36.818994,0.337332,2015,0,0,NA,"Midland"
"199",36.818994,0.337332,1961,0,0,"Livestock","Midland"
"200",36.818994,0.337332,1955,0,0,"Livestock","Midland"
"201",36.818994,0.337332,2007,0,0,"Wildlife","Midland"
"202",36.818994,0.337332,2007,0,0,"Wildlife","Midland"
"203",36.818994,0.337332,1999,3,0,"Wildlife","Midland"
"204",36.825225,0.296823,1998,0,0,"Livestock","Midland"
"205",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"206",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"207",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"208",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"209",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"210",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"211",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"212",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"213",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"214",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"215",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"216",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"217",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"218",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"219",36.830091,-1.30022,1998,0,0,"Livestock","Nairobi City"
"220",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"221",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"222",36.830091,-1.30022,1998,0,0,NA,"Nairobi City"
"223",36.832302,-1.171147,2015,0,0,"Livestock","Midland"
"224",36.832302,-1.171147,1961,0,0,"Livestock","Midland"
"225",36.832302,-1.171147,2006,0,0,"Livestock","Midland"
"226",36.837865,-1.359926,2007,0,0,"Human","Nairobi City"
"227",36.837865,-1.359926,1951,0,0,"Livestock","Nairobi City"
"228",36.837865,-1.359926,2006,2,0,"Livestock","Nairobi City"
"229",36.837865,-1.359926,1999,1,0,"Wildlife","Nairobi City"
"230",36.837865,-1.359926,1955,0,0,"Livestock","Nairobi City"
"231",36.837865,-1.359926,2007,2,0,"Human","Nairobi City"
"232",36.837865,-1.359926,1961,0,0,"Livestock","Nairobi City"
"233",36.843746,-1.671552,2005,1,0,"Livestock","Midland"
"234",36.843746,-1.671552,2005,6,0,"Livestock","Midland"
"235",36.843942,-1.306636,2006,1,0,"Human","Nairobi City"
"236",36.843942,-1.306636,2005,0,0,"Livestock","Nairobi City"
"237",36.843942,-1.306636,2006,6,0,"Livestock","Nairobi City"
"238",36.843942,-1.306636,2007,2,0,"Livestock","Nairobi City"
"239",36.843942,-1.306636,1961,0,0,"Livestock","Nairobi City"
"240",36.843942,-1.306636,2006,3,0,"Human","Nairobi City"
"241",36.843942,-1.306636,2018,0,0,NA,"Nairobi City"
"242",36.850339,-1.516879,2005,1,0,"Livestock","Midland"
"243",36.850339,-1.516879,2005,0,0,"Livestock","Midland"
"244",36.861045,0.028189,2014,0,0,"Livestock","Midland"
"245",36.9,-1.22,2007,0,0,"Livestock","Nairobi City"
"246",36.9,-1.22,2006,3,0,"Livestock","Nairobi City"
"247",36.9126389,-2.1167527,1999,0,0,"Livestock","Midland"
